event_name,event_date,event_status
"Language and Literature Orientation",2024-12-31,Completed
"Regional Alumni Engagement Summit",2026-06-01,Upcoming
"Community STEM Colloquium",2024-06-17,Completed
"Campus Research Series",2023-09-26,Completed
"Future-Ready Entrepreneurship Symposium",2026-09-08,Upcoming
"College Service Learning Showcase",2024-01-25,Completed
"Arts and Culture Training",2026-05-19,Upcoming
"College Innovation Bootcamp",2025-09-13,Completed
"Psychology and Environmental Awareness Congress",2026-11-17,Upcoming
"Athletics and Media Production Showcase",2023-07-08,Completed
"Annual Health Awareness Dialogue",2025-01-17,Completed
"Teaching Excellence and Language and Literature Bootcamp",2023-10-19,Completed
"Annual Media Production Bootcamp",2023-06-08,Completed
"Entrepreneurship Mentoring Day",2026-06-23,Upcoming
"Interdepartmental Language and Literature Symposium",2026-06-23,Upcoming
"Industry-Academe Volunteerism Camp",2024-03-06,Completed
"Inclusive Public Speaking Learning Session",2026-08-30,Upcoming
"Data Analytics and Debate Camp",2026-06-28,Upcoming
"Applied Innovation Mentoring Day",2026-08-25,Upcoming
"Volunteerism Mentoring Day",2026-09-12,Upcoming
"Innovation Showcase",2023-12-25,Completed
"Innovation and Hospitality Fair",2025-08-26,Completed
"Academic Excellence Training",2023-11-11,Completed
"College Data Analytics Congress",2023-08-09,Completed
"Data Analytics and Psychology Camp",2026-12-09,Upcoming
"Mental Health Showcase",2025-03-24,Completed
"Language and Literature and Data Analytics Fair",2023-05-25,Completed
"Faculty Media Production Assembly",2024-07-21,Completed
"Community Teaching Excellence Forum",2024-07-23,Completed
"Athletics and Sustainability Mentoring Day",2024-07-15,Completed
"Future-Ready Alumni Engagement Showcase",2023-04-23,Completed
"Hospitality and Language and Literature Congress",2025-09-09,Completed
"Financial Literacy Bootcamp",2026-10-08,Upcoming
"Sustainability Seminar",2025-08-02,Completed
"Public Speaking and Career Development Training",2025-12-09,Completed
"Health Awareness Mentoring Day",2024-06-14,Completed
"Young Leaders Digital Literacy Showcase",2025-06-01,Completed
"Wellness and Campus Journalism Showcase",2023-03-19,Completed
"Applied Psychology Forum",2025-10-05,Completed
"Leadership Congress",2025-12-30,Completed
"Data Analytics Dialogue",2026-02-10,Completed
"College Media Production Forum",2026-06-01,Upcoming
"Teaching Excellence Seminar",2024-02-11,Completed
"Science Education and Alumni Engagement Learning Session",2026-02-23,Completed
"Cybersecurity and Inclusive Education Workshop",2024-07-18,Completed
"Hospitality and Alumni Engagement Symposium",2026-06-02,Upcoming
"Robotics and Science Education Learning Session",2026-11-27,Upcoming
"Digital Literacy and Nursing Care Expo",2023-03-01,Completed
"Future-Ready Tourism Mentoring Day",2026-04-20,Completed
"Media Production Bootcamp",2024-05-03,Completed
"Teacher Training Congress",2025-07-12,Completed
"Faculty Digital Literacy Orientation",2025-09-30,Completed
"Volunteerism and Sustainability Seminar",2024-09-29,Completed
"Applied Research Assembly",2025-12-16,Completed
"Interdepartmental Entrepreneurship Forum",2023-02-11,Completed
"Public Speaking and Environmental Awareness Bootcamp",2025-07-23,Completed
"Campus Journalism and Cybersecurity Series",2026-09-01,Upcoming
"Student Nursing Care Colloquium",2023-09-24,Completed
"Robotics and Alumni Engagement Camp",2025-08-27,Completed
"Faculty Teacher Training Assembly",2024-09-24,Completed
"Research and Alumni Engagement Camp",2025-07-09,Completed
"Student Campus Journalism Congress",2023-11-12,Completed
"College Hospitality Training",2026-09-07,Upcoming
"Annual Cybersecurity Colloquium",2025-09-21,Completed
"Entrepreneurship Summit",2023-07-09,Completed
"Language and Literature and Robotics Colloquium",2025-11-19,Completed
"Business Management and Inclusive Education Showcase",2026-07-17,Upcoming
"Entrepreneurship and STEM Showcase",2024-11-08,Completed
"Campus Financial Literacy Assembly",2024-02-26,Completed
"Campus Journalism Forum",2023-01-20,Completed
"Arts and Culture and Mental Health Symposium",2025-02-18,Completed
"College Health Awareness Seminar",2023-01-30,Completed
"College Teacher Training Expo",2024-01-10,Completed
"Inclusive STEM Symposium",2026-10-09,Upcoming
"Community Outreach Workshop",2026-03-20,Completed
"Young Leaders Career Development Symposium",2025-03-08,Completed
"Financial Literacy Fair",2024-03-09,Completed
"Academic Excellence Congress",2026-05-22,Upcoming
"Campus Journalism and Hospitality Forum",2024-08-11,Completed
"Leadership and Volunteerism Symposium",2024-10-06,Completed
"Mental Health and Teaching Excellence Workshop",2025-09-10,Completed
"Data Analytics Showcase",2024-01-05,Completed
"Alumni Engagement Orientation",2025-03-03,Completed
"Arts and Culture and Cybersecurity Mentoring Day",2024-04-10,Completed
"Innovation and Campus Journalism Dialogue",2025-07-14,Completed
"Faculty Teaching Excellence Congress",2025-01-14,Completed
"Debate Congress",2024-10-07,Completed
"Entrepreneurship and Mental Health Dialogue",2025-01-26,Completed
"Robotics and Academic Excellence Camp",2024-09-02,Completed
"Psychology Assembly",2023-05-30,Completed
"Tourism and Digital Literacy Congress",2025-10-20,Completed
"Tourism and Environmental Awareness Mentoring Day",2023-09-25,Completed
"Wellness and Robotics Bootcamp",2023-02-01,Completed
"Student Government and Psychology Conference",2024-12-11,Completed
"Business Management and Financial Literacy Workshop",2023-06-26,Completed
"Applied Teacher Training Showcase",2025-01-21,Completed
"University-Wide Disaster Preparedness Camp",2023-02-09,Completed
"Applied Teacher Training Orientation",2025-07-31,Completed
"Arts and Culture Fair",2025-11-25,Completed
"Sustainability Dialogue",2024-12-10,Completed
"Community Outreach and Disaster Preparedness Dialogue",2025-11-04,Completed
"Academic Excellence Expo",2024-08-31,Completed
"Future-Ready Tourism Series",2026-04-25,Upcoming
"Interdepartmental Public Speaking Training",2024-07-13,Completed
"Leadership and Science Education Mentoring Day",2025-04-04,Completed
"Science Education and Media Production Assembly",2026-05-10,Upcoming
"Mental Health and Athletics Seminar",2025-01-02,Completed
"Mental Health Expo",2025-12-01,Completed
"Digital Literacy Symposium",2023-07-18,Completed
"Campus Journalism and Tourism Learning Session",2023-02-16,Completed
"Data Analytics and Mental Health Forum",2024-08-27,Completed
"Young Leaders Disaster Preparedness Showcase",2023-12-28,Completed
"College Digital Literacy Summit",2026-11-04,Upcoming
"Community Outreach Assembly",2024-02-03,Completed
"Industry-Academe Financial Literacy Congress",2025-01-23,Completed
"Campus Journalism and Career Development Series",2024-02-03,Completed
"Data Analytics and Academic Excellence Series",2024-10-22,Completed
"Student STEM Fair",2026-12-19,Upcoming
"Teacher Training Learning Session",2024-06-04,Completed
"Business Management Seminar",2024-03-29,Completed
"Data Analytics and Health Awareness Fair",2023-09-14,Completed
"Faculty Campus Journalism Dialogue",2023-04-11,Completed
"Sustainability Showcase",2025-03-30,Completed
"Annual Athletics Mentoring Day",2023-06-14,Completed
"Language and Literature and Public Speaking Showcase",2023-04-09,Completed
"Health Awareness Congress",2024-11-15,Completed
"Interdepartmental Environmental Awareness Mentoring Day",2023-10-14,Completed
"Creative Mental Health Expo",2025-08-21,Completed
"Environmental Awareness and Athletics Fair",2024-09-21,Completed
"Business Management Congress",2023-12-12,Completed
"Interdepartmental Athletics Assembly",2024-08-26,Completed
"Digital Literacy Camp",2024-11-14,Completed
"Entrepreneurship and Wellness Expo",2026-12-19,Upcoming
"Environmental Awareness Colloquium",2025-10-21,Completed
"Arts and Culture Fair",2026-05-27,Upcoming
"Inclusive Education and Sustainability Conference",2024-01-01,Completed
"Disaster Preparedness Dialogue",2024-04-24,Completed
"Faculty Career Development Symposium",2024-02-24,Completed
"Tourism Expo",2026-12-12,Upcoming
"University-Wide Hospitality Forum",2025-04-26,Completed
"Inclusive Environmental Awareness Orientation",2023-06-25,Completed
"Future-Ready Academic Excellence Assembly",2024-09-06,Completed
"Business Management Conference",2026-08-31,Upcoming
"Regional Environmental Awareness Training",2023-02-08,Completed
"Debate Training",2025-10-04,Completed
"Hospitality and Athletics Bootcamp",2024-06-29,Completed
"Mental Health Dialogue",2024-07-02,Completed
"Annual Sustainability Congress",2025-01-25,Completed
"Leadership and Language and Literature Orientation",2025-01-22,Completed
"Financial Literacy and Wellness Congress",2023-11-19,Completed
"Inclusive Education Colloquium",2026-11-09,Upcoming
"Volunteerism Camp",2025-05-18,Completed
"University-Wide Campus Journalism Series",2023-01-12,Completed
"Annual Health Awareness Showcase",2026-09-10,Upcoming
"Industry-Academe Student Government Conference",2026-07-04,Upcoming
"Community Hospitality Showcase",2026-03-07,Completed
"Community Career Development Training",2024-06-30,Completed
"Nursing Care Expo",2025-11-18,Completed
"Media Production Orientation",2023-04-08,Completed
"Creative Cybersecurity Seminar",2024-03-09,Completed
"Service Learning Dialogue",2023-11-09,Completed
"Faculty Cybersecurity Bootcamp",2024-02-29,Completed
"Faculty Digital Literacy Orientation",2023-07-05,Completed
"Applied Student Government Showcase",2024-06-06,Completed
"College Data Analytics Workshop",2023-07-21,Completed
"Research and Health Awareness Camp",2025-08-16,Completed
"College Science Education Showcase",2026-07-11,Upcoming
"Annual Inclusive Education Showcase",2024-05-30,Completed
"Business Management and Sustainability Summit",2025-09-25,Completed
"Applied Campus Journalism Mentoring Day",2023-09-29,Completed
"Research and Engineering Design Orientation",2026-11-16,Upcoming
"Public Speaking and Science Education Mentoring Day",2024-11-22,Completed
"Sustainability and Language and Literature Orientation",2025-01-19,Completed
"Young Leaders Hospitality Summit",2025-09-22,Completed
"Financial Literacy Symposium",2024-02-02,Completed
"Psychology Forum",2026-08-11,Upcoming
"Mental Health and Entrepreneurship Forum",2025-06-07,Completed
"Community Teaching Excellence Showcase",2025-12-10,Completed
"Athletics and Tourism Fair",2025-05-15,Completed
"Annual Research Camp",2023-09-11,Completed
"Debate and STEM Forum",2023-09-04,Completed
"Public Speaking Training",2025-10-17,Completed
"University-Wide Volunteerism Expo",2026-02-14,Completed
"University-Wide Teaching Excellence Workshop",2024-11-22,Completed
"Annual STEM Camp",2023-03-19,Completed
"Interdepartmental Teaching Excellence Showcase",2026-05-05,Upcoming
"Leadership and Hospitality Dialogue",2026-06-17,Upcoming
"Entrepreneurship Learning Session",2026-01-24,Completed
"Environmental Awareness and Financial Literacy Camp",2023-10-19,Completed
"Environmental Awareness Training",2026-09-03,Upcoming
"Campus Hospitality Training",2023-09-10,Completed
"Campus Journalism and Service Learning Camp",2026-10-16,Upcoming
"Mental Health and STEM Assembly",2025-02-01,Completed
"Annual Career Development Camp",2023-11-18,Completed
"College Inclusive Education Training",2024-01-28,Completed
"Interdepartmental Campus Journalism Summit",2025-08-26,Completed
"Interdepartmental Volunteerism Workshop",2024-04-05,Completed
"Mental Health Seminar",2026-04-21,Ongoing
"Digital Literacy and Nursing Care Seminar",2025-07-30,Completed
"Debate and Teaching Excellence Congress",2023-12-25,Completed
"Mental Health Orientation",2025-11-01,Completed
"Teaching Excellence and Community Outreach Congress",2024-12-19,Completed
"Campus Business Management Assembly",2025-11-20,Completed
"Robotics Forum",2023-02-02,Completed
"Innovation Fair",2024-10-19,Completed
"Academic Excellence and Entrepreneurship Showcase",2025-10-06,Completed
"Interdepartmental Community Outreach Learning Session",2026-09-08,Upcoming
"Disaster Preparedness and Wellness Mentoring Day",2023-08-14,Completed
"Cybersecurity Symposium",2026-04-21,Ongoing
"Volunteerism and Health Awareness Summit",2025-02-20,Completed
"Leadership and Cybersecurity Series",2026-07-15,Upcoming
"Inclusive Disaster Preparedness Training",2025-05-17,Completed
"Interdepartmental Health Awareness Dialogue",2025-05-09,Completed
"Student Robotics Summit",2024-09-08,Completed
"University-Wide Campus Journalism Congress",2025-02-22,Completed
"Industry-Academe Tourism Mentoring Day",2026-03-25,Completed
"Career Development and Digital Literacy Symposium",2025-03-26,Completed
"Interdepartmental Volunteerism Dialogue",2025-02-15,Completed
"Student Government Workshop",2024-10-29,Completed
"Science Education Fair",2024-08-20,Completed
"Annual Language and Literature Conference",2026-12-04,Upcoming
"Entrepreneurship and Tourism Conference",2023-10-26,Completed
"Alumni Engagement and Media Production Forum",2025-12-01,Completed
"Student Public Speaking Expo",2026-10-23,Upcoming
"STEM and Psychology Showcase",2026-11-24,Upcoming
"Language and Literature and Debate Expo",2023-05-28,Completed
"STEM Summit",2026-05-19,Upcoming
"Tourism Camp",2024-08-16,Completed
"Cybersecurity Training",2026-12-30,Upcoming
"Community Athletics Congress",2023-07-20,Completed
"Entrepreneurship Colloquium",2024-12-16,Completed
"Student Inclusive Education Assembly",2024-06-14,Completed
"Science Education Mentoring Day",2026-09-10,Upcoming
"University-Wide Alumni Engagement Dialogue",2024-03-24,Completed
"Faculty Hospitality Fair",2025-04-27,Completed
"Young Leaders Campus Journalism Bootcamp",2025-10-16,Completed
"Teacher Training Learning Session",2024-12-14,Completed
"Applied Leadership Congress",2023-12-27,Completed
"Volunteerism Fair",2024-05-26,Completed
"Community Student Government Assembly",2024-05-09,Completed
"Faculty Robotics Congress",2026-10-09,Upcoming
"Campus Journalism Assembly",2024-09-20,Completed
"Engineering Design Series",2023-05-14,Completed
"Environmental Awareness and Tourism Summit",2023-04-03,Completed
"Campus Wellness Workshop",2023-02-17,Completed
"Sustainability Expo",2023-11-11,Completed
"Inclusive Education and Leadership Assembly",2025-02-04,Completed
"Hospitality Bootcamp",2023-08-18,Completed
"Language and Literature Colloquium",2023-02-17,Completed
"Young Leaders Debate Assembly",2025-06-17,Completed
"Industry-Academe Mental Health Orientation",2026-05-07,Upcoming
"Campus Teacher Training Assembly",2023-08-03,Completed
"Nursing Care and Science Education Mentoring Day",2025-02-06,Completed
"Data Analytics and Athletics Workshop",2023-07-10,Completed
"Sustainability and Public Speaking Colloquium",2024-10-02,Completed
"Community Campus Journalism Dialogue",2025-07-16,Completed
"Engineering Design Orientation",2023-12-13,Completed
"Service Learning Assembly",2025-10-09,Completed
"Student Service Learning Seminar",2025-12-27,Completed
"Debate and Campus Journalism Orientation",2023-08-08,Completed
"Industry-Academe Psychology Mentoring Day",2023-11-25,Completed
"Interdepartmental Student Government Assembly",2024-03-15,Completed
"Student Mental Health Summit",2026-01-29,Completed
"Science Education Mentoring Day",2024-05-30,Completed
"College Data Analytics Assembly",2026-01-26,Completed
"Career Development Showcase",2026-10-30,Upcoming
"University-Wide Engineering Design Congress",2026-05-08,Upcoming
"Annual Tourism Training",2025-12-16,Completed
"Student Academic Excellence Mentoring Day",2023-08-05,Completed
"Teacher Training Training",2023-10-27,Completed
"Environmental Awareness Showcase",2023-05-23,Completed
"Volunteerism Learning Session",2023-05-29,Completed
"Teaching Excellence Forum",2024-05-05,Completed
"University-Wide Athletics Assembly",2023-07-08,Completed
"Campus Hospitality Mentoring Day",2023-06-16,Completed
"Sustainability Summit",2023-10-20,Completed
"Applied Financial Literacy Seminar",2026-07-19,Upcoming
"Financial Literacy Camp",2024-03-28,Completed
"Community Business Management Training",2024-09-15,Completed
"Campus Robotics Seminar",2025-03-20,Completed
"University-Wide Athletics Forum",2026-04-19,Completed
"Future-Ready Volunteerism Seminar",2025-10-24,Completed
"Teaching Excellence Bootcamp",2026-09-09,Upcoming
"Young Leaders STEM Learning Session",2026-01-10,Completed
"Industry-Academe Wellness Assembly",2026-05-22,Upcoming
"Media Production and Volunteerism Showcase",2024-08-05,Completed
"Student Sustainability Assembly",2025-01-01,Completed
"Campus Journalism and Teaching Excellence Mentoring Day",2024-03-17,Completed
"Science Education Training",2023-09-28,Completed
"Teaching Excellence Training",2023-12-20,Completed
"University-Wide Student Government Mentoring Day",2024-10-13,Completed
"Business Management Orientation",2024-11-12,Completed
"Sustainability Seminar",2026-01-16,Completed
"University-Wide Environmental Awareness Showcase",2023-10-29,Completed
"Language and Literature Bootcamp",2025-06-17,Completed
"Career Development Series",2024-04-02,Completed
"Media Production and Debate Camp",2026-09-09,Upcoming
"Athletics Bootcamp",2025-03-30,Completed
"Research and Data Analytics Mentoring Day",2026-06-30,Upcoming
"Entrepreneurship Symposium",2026-07-05,Upcoming
"Industry-Academe Academic Excellence Learning Session",2023-05-21,Completed
"STEM and Engineering Design Series",2026-02-23,Completed
"Interdepartmental Business Management Orientation",2024-08-10,Completed
"Mental Health Congress",2026-11-26,Upcoming
"Disaster Preparedness Showcase",2024-08-23,Completed
"Tourism and Athletics Summit",2023-06-16,Completed
"Career Development and Academic Excellence Learning Session",2023-08-21,Completed
"Student Government and Data Analytics Learning Session",2023-07-07,Completed
"Financial Literacy Training",2026-07-08,Upcoming
"Engineering Design and Service Learning Assembly",2023-12-04,Completed
"University-Wide Alumni Engagement Learning Session",2024-02-27,Completed
"Future-Ready Hospitality Bootcamp",2025-10-19,Completed
"Young Leaders Alumni Engagement Seminar",2023-01-20,Completed
"Athletics and Disaster Preparedness Dialogue",2024-08-19,Completed
"Disaster Preparedness Learning Session",2025-02-19,Completed
"Robotics and Teacher Training Mentoring Day",2025-08-03,Completed
"Nursing Care and Inclusive Education Showcase",2025-03-28,Completed
"Service Learning and Hospitality Colloquium",2025-02-16,Completed
"Media Production Conference",2025-07-19,Completed
"Community Hospitality Congress",2023-01-27,Completed
"Mental Health Training",2026-08-24,Upcoming
"Engineering Design Workshop",2024-01-27,Completed
"STEM Congress",2025-06-13,Completed
"Cybersecurity and Hospitality Bootcamp",2023-11-08,Completed
"Faculty Alumni Engagement Fair",2025-05-30,Completed
"Wellness Showcase",2023-07-05,Completed
"Student Disaster Preparedness Assembly",2025-07-23,Completed
"Industry-Academe Teaching Excellence Bootcamp",2025-08-30,Completed
"Community Digital Literacy Seminar",2024-01-06,Completed
"Innovation and Psychology Forum",2024-06-13,Completed
"Creative Disaster Preparedness Seminar",2026-08-20,Upcoming
"Public Speaking and Arts and Culture Workshop",2025-01-21,Completed
"Environmental Awareness and Sustainability Workshop",2025-04-13,Completed
"Athletics and Volunteerism Learning Session",2026-04-12,Completed
"Tourism Forum",2024-10-29,Completed
"Campus Journalism Dialogue",2024-11-23,Completed
"University-Wide Digital Literacy Assembly",2026-05-20,Upcoming
"Media Production and Student Government Summit",2024-09-09,Completed
"Financial Literacy and Leadership Mentoring Day",2023-09-21,Completed
"Nursing Care and Language and Literature Expo",2024-02-27,Completed
"Data Analytics and Research Colloquium",2023-11-18,Completed
"Public Speaking Camp",2023-05-05,Completed
"Science Education and Sustainability Bootcamp",2025-10-06,Completed
"Business Management and Science Education Bootcamp",2025-03-01,Completed
"Inclusive Education and Psychology Expo",2025-06-30,Completed
"University-Wide STEM Conference",2025-09-12,Completed
"Alumni Engagement and Innovation Mentoring Day",2023-11-07,Completed
"Robotics Camp",2024-08-27,Completed
"College Alumni Engagement Learning Session",2024-12-06,Completed
"Environmental Awareness Dialogue",2026-11-19,Upcoming
"Research and Engineering Design Series",2026-07-22,Upcoming
"Campus Journalism Series",2024-08-17,Completed
"Public Speaking and Wellness Learning Session",2024-07-12,Completed
"Financial Literacy Expo",2026-06-08,Upcoming
"Tourism Camp",2026-01-23,Completed
"Financial Literacy Expo",2024-08-16,Completed
"Annual Tourism Symposium",2025-09-17,Completed
"Environmental Awareness Colloquium",2025-12-27,Completed
"Tourism Forum",2024-04-20,Completed
"Debate and Volunteerism Fair",2026-04-02,Completed
"Athletics Dialogue",2025-10-31,Completed
"Teaching Excellence Orientation",2023-06-08,Completed
"Annual Business Management Seminar",2026-09-30,Upcoming
"Debate and Psychology Expo",2024-10-19,Completed
"Health Awareness Colloquium",2023-09-15,Completed
"College Service Learning Expo",2023-10-29,Completed
"Regional Wellness Conference",2023-07-06,Completed
"Student Government and Engineering Design Showcase",2026-10-12,Upcoming
"Mental Health Conference",2026-11-18,Upcoming
"Debate and Media Production Bootcamp",2026-03-10,Completed
"Leadership Showcase",2026-03-25,Completed
"Young Leaders Psychology Congress",2024-04-11,Completed
"Applied Entrepreneurship Series",2026-03-12,Completed
"Volunteerism Summit",2025-06-18,Completed
"Robotics Dialogue",2025-01-23,Completed
"Service Learning Symposium",2026-12-10,Upcoming
"Research Training",2025-07-28,Completed
"Psychology Summit",2025-08-04,Completed
"Media Production and Hospitality Training",2023-10-12,Completed
"University-Wide Student Government Expo",2023-06-25,Completed
"Language and Literature and Teacher Training Colloquium",2024-02-15,Completed
"Health Awareness Series",2025-08-26,Completed
"Student Government Conference",2026-03-10,Completed
"Engineering Design Training",2024-10-27,Completed
"Nursing Care Colloquium",2025-07-25,Completed
"Creative Volunteerism Learning Session",2026-03-06,Completed
"Young Leaders Service Learning Colloquium",2025-03-27,Completed
"Applied Language and Literature Assembly",2025-11-07,Completed
"Research Conference",2023-04-08,Completed
"Service Learning and Teacher Training Symposium",2023-10-18,Completed
"Campus Journalism and Science Education Conference",2024-03-31,Completed
"Community Outreach and Sustainability Expo",2025-07-17,Completed
"Tourism and Science Education Learning Session",2023-10-27,Completed
"Innovation Series",2026-06-18,Upcoming
"Mental Health Orientation",2023-08-28,Completed
"Faculty Disaster Preparedness Summit",2024-01-09,Completed
"University-Wide Academic Excellence Showcase",2026-11-12,Upcoming
"Community Innovation Congress",2025-06-29,Completed
"Career Development Workshop",2026-05-17,Upcoming
"Career Development and Language and Literature Conference",2025-01-05,Completed
"Public Speaking and Psychology Series",2023-09-19,Completed
"Faculty Debate Mentoring Day",2025-04-08,Completed
"Psychology Expo",2026-10-28,Upcoming
"Industry-Academe Data Analytics Summit",2023-10-09,Completed
"Future-Ready Nursing Care Learning Session",2023-03-05,Completed
"Psychology and Inclusive Education Forum",2025-05-20,Completed
"Data Analytics Series",2024-05-03,Completed
"Financial Literacy Forum",2025-02-02,Completed
"Community Outreach Learning Session",2024-08-17,Completed
"Entrepreneurship Conference",2023-12-09,Completed
"Robotics and Hospitality Mentoring Day",2023-12-05,Completed
"Teaching Excellence and Tourism Workshop",2025-05-23,Completed
"Regional Innovation Colloquium",2025-06-07,Completed
"Research Training",2026-06-22,Upcoming
"Regional Campus Journalism Conference",2025-05-07,Completed
"Entrepreneurship Summit",2024-06-20,Completed
"Psychology and Science Education Learning Session",2026-02-20,Completed
"Campus Teaching Excellence Bootcamp",2023-04-01,Completed
"Cybersecurity Forum",2023-01-12,Completed
"Volunteerism and Entrepreneurship Fair",2023-02-11,Completed
"Future-Ready STEM Forum",2024-01-02,Completed
"Career Development and STEM Seminar",2026-10-13,Upcoming
"Language and Literature and Public Speaking Bootcamp",2025-05-13,Completed
"Leadership Forum",2025-05-03,Completed
"Science Education Series",2025-08-06,Completed
"University-Wide Community Outreach Workshop",2023-05-23,Completed
"Young Leaders Engineering Design Symposium",2023-09-19,Completed
"Mental Health and Volunteerism Congress",2024-01-08,Completed
"Creative Teaching Excellence Symposium",2024-12-03,Completed
"Environmental Awareness and STEM Fair",2023-05-31,Completed
"STEM and Business Management Mentoring Day",2025-08-24,Completed
"Debate and Psychology Congress",2026-01-29,Completed
"Young Leaders Public Speaking Forum",2023-04-25,Completed
"Nursing Care Congress",2026-04-15,Completed
"Faculty Psychology Orientation",2026-05-03,Upcoming
"Inclusive Science Education Orientation",2026-07-13,Upcoming
"Wellness Expo",2024-04-02,Completed
"Annual Alumni Engagement Workshop",2023-09-02,Completed
"Digital Literacy and Arts and Culture Series",2023-10-22,Completed
"Innovation and Service Learning Summit",2024-09-23,Completed
"Future-Ready Digital Literacy Conference",2025-07-12,Completed
"Athletics Congress",2023-07-29,Completed
"Applied Debate Training",2026-12-12,Upcoming
"Public Speaking Dialogue",2023-12-10,Completed
"Inclusive Education and Environmental Awareness Camp",2023-09-10,Completed
"Nursing Care Seminar",2025-12-22,Completed
"Debate and Service Learning Learning Session",2024-04-07,Completed
"Career Development Expo",2023-04-10,Completed
"Leadership and Disaster Preparedness Showcase",2025-08-09,Completed
"Psychology and Teaching Excellence Conference",2026-09-24,Upcoming
"College Health Awareness Workshop",2025-05-05,Completed
"Media Production Colloquium",2026-01-04,Completed
"University-Wide Community Outreach Congress",2024-12-31,Completed
"Applied Media Production Showcase",2026-01-27,Completed
"Inclusive Cybersecurity Congress",2024-03-20,Completed
"Sustainability and Business Management Expo",2024-04-24,Completed
"Leadership and STEM Camp",2024-10-23,Completed
"Athletics and Disaster Preparedness Symposium",2024-09-17,Completed
"Public Speaking Forum",2026-08-05,Upcoming
"Annual Career Development Conference",2025-12-16,Completed
"Future-Ready Nursing Care Symposium",2024-10-24,Completed
"Teaching Excellence and Debate Training",2024-07-27,Completed
"Public Speaking Series",2026-04-21,Ongoing
"Faculty Teacher Training Mentoring Day",2023-03-17,Completed
"Science Education Workshop",2023-09-23,Completed
"Psychology and Media Production Series",2024-01-15,Completed
"Nursing Care and Tourism Conference",2023-12-11,Completed
"Annual Research Forum",2026-08-11,Upcoming
"Community Outreach Assembly",2024-07-26,Completed
"Teaching Excellence Colloquium",2025-03-11,Completed
"Interdepartmental Mental Health Symposium",2025-03-04,Completed
"Inclusive Education and Robotics Fair",2026-11-13,Upcoming
"Nursing Care Conference",2026-07-01,Upcoming
"Mental Health Fair",2024-06-11,Completed
"Campus Journalism Series",2025-09-27,Completed
"Leadership Bootcamp",2026-07-16,Upcoming
"Industry-Academe Career Development Expo",2026-11-19,Upcoming
"Regional Alumni Engagement Showcase",2025-12-18,Completed
"Language and Literature Camp",2023-07-23,Completed
"Sustainability and Service Learning Dialogue",2023-07-21,Completed
"Tourism Bootcamp",2025-10-28,Completed
"Athletics and Teaching Excellence Assembly",2025-03-07,Completed
"Robotics and Teaching Excellence Learning Session",2024-12-08,Completed
"Health Awareness Workshop",2026-06-17,Upcoming
"Community Outreach Training",2026-11-18,Upcoming
"Hospitality Bootcamp",2026-12-29,Upcoming
"Annual Community Outreach Forum",2025-04-04,Completed
"Innovation and Academic Excellence Assembly",2023-07-22,Completed
"Campus Journalism Symposium",2024-05-26,Completed
"Health Awareness and Business Management Symposium",2024-03-17,Completed
"Psychology Dialogue",2025-03-05,Completed
"Wellness Summit",2026-08-17,Upcoming
"Engineering Design and Language and Literature Learning Session",2024-11-02,Completed
"Nursing Care and STEM Summit",2024-07-05,Completed
"Young Leaders Business Management Workshop",2026-09-18,Upcoming
"Industry-Academe Research Congress",2024-09-22,Completed
"Regional Data Analytics Assembly",2025-06-09,Completed
"STEM Expo",2024-12-03,Completed
"Academic Excellence and Teacher Training Learning Session",2023-09-09,Completed
"Wellness and Academic Excellence Series",2026-09-17,Upcoming
"College Innovation Mentoring Day",2025-03-09,Completed
"University-Wide STEM Series",2025-05-07,Completed
"Nursing Care and Digital Literacy Fair",2024-04-16,Completed
"Business Management and Sustainability Seminar",2026-10-24,Upcoming
"Interdepartmental Entrepreneurship Symposium",2024-07-29,Completed
"Inclusive Education and Tourism Summit",2025-10-21,Completed
"Applied Business Management Series",2026-03-26,Completed
"Language and Literature Series",2025-03-25,Completed
"Disaster Preparedness and Student Government Assembly",2024-12-04,Completed
"Science Education Expo",2023-12-07,Completed
"Research Assembly",2025-09-08,Completed
"Community Nursing Care Series",2026-04-05,Completed
"Digital Literacy Congress",2024-01-02,Completed
"Regional Language and Literature Symposium",2023-01-17,Completed
"Inclusive Business Management Symposium",2023-11-05,Completed
"Young Leaders Data Analytics Forum",2026-08-27,Upcoming
"Campus Disaster Preparedness Showcase",2023-07-17,Completed
"Future-Ready Robotics Conference",2025-11-11,Completed
"Community Business Management Dialogue",2024-12-24,Completed
"Robotics and Cybersecurity Summit",2023-11-27,Completed
"Faculty Research Congress",2025-09-06,Completed
"Athletics and Teaching Excellence Mentoring Day",2026-08-12,Upcoming
"Nursing Care Series",2023-03-03,Completed
"Teaching Excellence Series",2023-02-16,Completed
"Research and Financial Literacy Assembly",2024-09-25,Completed
"Athletics Orientation",2025-01-23,Completed
"Entrepreneurship and Teaching Excellence Bootcamp",2025-01-15,Completed
"Psychology and Health Awareness Orientation",2026-11-28,Upcoming
"Leadership Forum",2023-09-11,Completed
"Community Outreach Forum",2023-06-23,Completed
"Arts and Culture Learning Session",2023-10-28,Completed
"Community Outreach Colloquium",2024-12-23,Completed
"Tourism Seminar",2024-04-14,Completed
"Entrepreneurship and Inclusive Education Assembly",2023-02-21,Completed
